timestamp,kwh,building
2024-01-01 00:00:00,23.95,Admin
2024-01-01 01:00:00,22.35,Admin
2024-01-01 02:00:00,50.18,Admin
2024-01-01 03:00:00,37.99,Admin
2024-01-01 04:00:00,25.19,Admin
2024-01-01 05:00:00,78.83,Admin
2024-01-01 06:00:00,63.93,Admin
2024-01-01 07:00:00,65.79,Admin
2024-01-01 08:00:00,59.49,Admin
2024-01-01 09:00:00,68.87,Admin
2024-01-01 10:00:00,20.25,Admin
2024-01-01 11:00:00,64.77,Admin
2024-01-01 12:00:00,63.75,Admin
2024-01-01 13:00:00,49.02,Admin
2024-01-01 14:00:00,62.05,Admin
2024-01-01 15:00:00,72.58,Admin
2024-01-01 16:00:00,53.75,Admin
2024-01-01 17:00:00,49.7,Admin
2024-01-01 18:00:00,44.22,Admin
2024-01-01 19:00:00,55.38,Admin
2024-01-01 20:00:00,68.29,Admin
2024-01-01 21:00:00,56.75,Admin
2024-01-01 22:00:00,23.36,Admin
2024-01-01 23:00:00,21.62,Admin
2024-01-02 00:00:00,33.67,Admin
2024-01-02 01:00:00,31.17,Admin
2024-01-02 02:00:00,64.5,Admin
2024-01-02 03:00:00,64.28,Admin
2024-01-02 04:00:00,68.89,Admin
2024-01-02 05:00:00,69.79,Admin
2024-01-02 06:00:00,20.27,Admin
2024-01-02 07:00:00,66.03,Admin
2024-01-02 08:00:00,22.44,Admin
2024-01-02 09:00:00,50.07,Admin
2024-01-02 10:00:00,27.41,Admin
2024-01-02 11:00:00,57.02,Admin
2024-01-02 12:00:00,47.43,Admin
2024-01-02 13:00:00,45.37,Admin
2024-01-02 14:00:00,75.73,Admin
2024-01-02 15:00:00,39.93,Admin
2024-01-02 16:00:00,38.72,Admin
2024-01-02 17:00:00,46.29,Admin
2024-01-02 18:00:00,65.91,Admin
2024-01-02 19:00:00,61.09,Admin
2024-01-02 20:00:00,41.73,Admin
2024-01-02 21:00:00,65.65,Admin
2024-01-02 22:00:00,75.37,Admin
2024-01-02 23:00:00,23.19,Admin
2024-01-03 00:00:00,34.22,Admin
2024-01-03 01:00:00,31.18,Admin
2024-01-03 02:00:00,74.17,Admin
2024-01-03 03:00:00,31.6,Admin
2024-01-03 04:00:00,59.87,Admin
2024-01-03 05:00:00,72.64,Admin
2024-01-03 06:00:00,22.72,Admin
2024-01-03 07:00:00,54.91,Admin
2024-01-03 08:00:00,63.33,Admin
2024-01-03 09:00:00,26.56,Admin
2024-01-03 10:00:00,65.62,Admin
2024-01-03 11:00:00,21.04,Admin
2024-01-03 12:00:00,44.99,Admin
2024-01-03 13:00:00,61.39,Admin
2024-01-03 14:00:00,52.98,Admin
2024-01-03 15:00:00,51.79,Admin
2024-01-03 16:00:00,54.37,Admin
2024-01-03 17:00:00,65.33,Admin
2024-01-03 18:00:00,69.48,Admin
2024-01-03 19:00:00,39.22,Admin
2024-01-03 20:00:00,65.4,Admin
2024-01-03 21:00:00,34.67,Admin
2024-01-03 22:00:00,51.41,Admin
2024-01-03 23:00:00,40.47,Admin
2024-01-04 00:00:00,20.17,Admin
2024-01-04 01:00:00,64.35,Admin
2024-01-04 02:00:00,68.29,Admin
2024-01-04 03:00:00,35.07,Admin
2024-01-04 04:00:00,55.85,Admin
2024-01-04 05:00:00,42.53,Admin
2024-01-04 06:00:00,46.54,Admin
2024-01-04 07:00:00,63.33,Admin
2024-01-04 08:00:00,69.21,Admin
2024-01-04 09:00:00,53.78,Admin
2024-01-04 10:00:00,78.74,Admin
2024-01-04 11:00:00,73.44,Admin
2024-01-04 12:00:00,31.22,Admin
2024-01-04 13:00:00,39.3,Admin
2024-01-04 14:00:00,51.19,Admin
2024-01-04 15:00:00,61.55,Admin
2024-01-04 16:00:00,24.83,Admin
2024-01-04 17:00:00,24.66,Admin
2024-01-04 18:00:00,34.71,Admin
2024-01-04 19:00:00,71.32,Admin
2024-01-04 20:00:00,54.73,Admin
2024-01-04 21:00:00,53.97,Admin
2024-01-04 22:00:00,34.52,Admin
2024-01-04 23:00:00,48.59,Admin
2024-01-05 00:00:00,50.51,Admin
2024-01-05 01:00:00,29.44,Admin
2024-01-05 02:00:00,32.8,Admin
2024-01-05 03:00:00,33.64,Admin
2024-01-05 04:00:00,36.05,Admin
2024-01-05 05:00:00,32.04,Admin
2024-01-05 06:00:00,35.38,Admin
2024-01-05 07:00:00,79.86,Admin
2024-01-05 08:00:00,51.33,Admin
2024-01-05 09:00:00,58.55,Admin
2024-01-05 10:00:00,63.07,Admin
2024-01-05 11:00:00,52.85,Admin
2024-01-05 12:00:00,44.5,Admin
2024-01-05 13:00:00,65.6,Admin
2024-01-05 14:00:00,77.39,Admin
2024-01-05 15:00:00,29.36,Admin
2024-01-05 16:00:00,37.08,Admin
2024-01-05 17:00:00,60.08,Admin
2024-01-05 18:00:00,44.78,Admin
2024-01-05 19:00:00,55.44,Admin
2024-01-05 20:00:00,78.17,Admin
2024-01-05 21:00:00,32.45,Admin
2024-01-05 22:00:00,43.96,Admin
2024-01-05 23:00:00,69.44,Admin
2024-01-06 00:00:00,23.47,Admin
2024-01-06 01:00:00,76.01,Admin
2024-01-06 02:00:00,59.04,Admin
2024-01-06 03:00:00,73.52,Admin
2024-01-06 04:00:00,21.23,Admin
2024-01-06 05:00:00,21.8,Admin
2024-01-06 06:00:00,79.53,Admin
2024-01-06 07:00:00,44.94,Admin
2024-01-06 08:00:00,29.17,Admin
2024-01-06 09:00:00,74.18,Admin
2024-01-06 10:00:00,42.4,Admin
2024-01-06 11:00:00,45.61,Admin
2024-01-06 12:00:00,39.34,Admin
2024-01-06 13:00:00,31.58,Admin
2024-01-06 14:00:00,50.95,Admin
2024-01-06 15:00:00,58.34,Admin
2024-01-06 16:00:00,53.45,Admin
2024-01-06 17:00:00,54.76,Admin
2024-01-06 18:00:00,61.53,Admin
2024-01-06 19:00:00,25.36,Admin
2024-01-06 20:00:00,30.26,Admin
2024-01-06 21:00:00,24.74,Admin
2024-01-06 22:00:00,26.27,Admin
2024-01-06 23:00:00,63.25,Admin
2024-01-07 00:00:00,74.37,Admin
2024-01-07 01:00:00,49.16,Admin
2024-01-07 02:00:00,33.69,Admin
2024-01-07 03:00:00,47.96,Admin
2024-01-07 04:00:00,52.97,Admin
2024-01-07 05:00:00,59.3,Admin
2024-01-07 06:00:00,39.91,Admin
2024-01-07 07:00:00,44.5,Admin
2024-01-07 08:00:00,33.01,Admin
2024-01-07 09:00:00,56.43,Admin
2024-01-07 10:00:00,30.14,Admin
2024-01-07 11:00:00,73.11,Admin
2024-01-07 12:00:00,34.99,Admin
2024-01-07 13:00:00,40.56,Admin
2024-01-07 14:00:00,57.56,Admin
2024-01-07 15:00:00,60.0,Admin
2024-01-07 16:00:00,47.37,Admin
2024-01-07 17:00:00,37.89,Admin
2024-01-07 18:00:00,23.11,Admin
2024-01-07 19:00:00,65.73,Admin
2024-01-07 20:00:00,57.73,Admin
2024-01-07 21:00:00,79.66,Admin
2024-01-07 22:00:00,44.31,Admin
2024-01-07 23:00:00,55.94,Admin
2024-01-08 00:00:00,58.51,Admin
2024-01-08 01:00:00,77.39,Admin
2024-01-08 02:00:00,32.98,Admin
2024-01-08 03:00:00,41.5,Admin
2024-01-08 04:00:00,77.34,Admin
2024-01-08 05:00:00,71.22,Admin
2024-01-08 06:00:00,66.9,Admin
2024-01-08 07:00:00,65.17,Admin
2024-01-08 08:00:00,65.97,Admin
2024-01-08 09:00:00,76.3,Admin
2024-01-08 10:00:00,34.32,Admin
2024-01-08 11:00:00,20.25,Admin
2024-01-08 12:00:00,42.96,Admin
2024-01-08 13:00:00,62.83,Admin
2024-01-08 14:00:00,45.78,Admin
2024-01-08 15:00:00,39.86,Admin
2024-01-08 16:00:00,24.62,Admin
2024-01-08 17:00:00,67.71,Admin
2024-01-08 18:00:00,23.98,Admin
2024-01-08 19:00:00,40.03,Admin
2024-01-08 20:00:00,57.25,Admin
2024-01-08 21:00:00,29.05,Admin
2024-01-08 22:00:00,78.32,Admin
2024-01-08 23:00:00,52.22,Admin
2024-01-09 00:00:00,28.03,Admin
2024-01-09 01:00:00,60.93,Admin
2024-01-09 02:00:00,66.31,Admin
2024-01-09 03:00:00,69.5,Admin
2024-01-09 04:00:00,70.17,Admin
2024-01-09 05:00:00,39.29,Admin
2024-01-09 06:00:00,45.74,Admin
2024-01-09 07:00:00,58.86,Admin
2024-01-09 08:00:00,51.67,Admin
2024-01-09 09:00:00,34.73,Admin
2024-01-09 10:00:00,29.12,Admin
2024-01-09 11:00:00,59.46,Admin
2024-01-09 12:00:00,29.24,Admin
2024-01-09 13:00:00,43.73,Admin
2024-01-09 14:00:00,47.11,Admin
2024-01-09 15:00:00,66.23,Admin
2024-01-09 16:00:00,45.83,Admin
2024-01-09 17:00:00,43.96,Admin
