timestamp,kwh,building
2024-01-01 00:00:00,48.06,Hostel
2024-01-01 01:00:00,30.77,Hostel
2024-01-01 02:00:00,59.59,Hostel
2024-01-01 03:00:00,62.56,Hostel
2024-01-01 04:00:00,73.08,Hostel
2024-01-01 05:00:00,88.88,Hostel
2024-01-01 06:00:00,79.93,Hostel
2024-01-01 07:00:00,30.82,Hostel
2024-01-01 08:00:00,92.57,Hostel
2024-01-01 09:00:00,64.08,Hostel
2024-01-01 10:00:00,39.48,Hostel
2024-01-01 11:00:00,88.41,Hostel
2024-01-01 12:00:00,67.13,Hostel
2024-01-01 13:00:00,51.24,Hostel
2024-01-01 14:00:00,91.0,Hostel
2024-01-01 15:00:00,33.6,Hostel
2024-01-01 16:00:00,55.17,Hostel
2024-01-01 17:00:00,52.87,Hostel
2024-01-01 18:00:00,33.96,Hostel
2024-01-01 19:00:00,58.49,Hostel
2024-01-01 20:00:00,106.41,Hostel
2024-01-01 21:00:00,69.15,Hostel
2024-01-01 22:00:00,40.15,Hostel
2024-01-01 23:00:00,63.71,Hostel
2024-01-02 00:00:00,88.33,Hostel
2024-01-02 01:00:00,66.39,Hostel
2024-01-02 02:00:00,107.28,Hostel
2024-01-02 03:00:00,91.12,Hostel
2024-01-02 04:00:00,90.17,Hostel
2024-01-02 05:00:00,40.99,Hostel
2024-01-02 06:00:00,92.03,Hostel
2024-01-02 07:00:00,111.31,Hostel
2024-01-02 08:00:00,48.12,Hostel
2024-01-02 09:00:00,99.56,Hostel
2024-01-02 10:00:00,81.16,Hostel
2024-01-02 11:00:00,71.7,Hostel
2024-01-02 12:00:00,117.45,Hostel
2024-01-02 13:00:00,54.23,Hostel
2024-01-02 14:00:00,104.62,Hostel
2024-01-02 15:00:00,113.49,Hostel
2024-01-02 16:00:00,40.95,Hostel
2024-01-02 17:00:00,50.05,Hostel
2024-01-02 18:00:00,39.76,Hostel
2024-01-02 19:00:00,45.26,Hostel
2024-01-02 20:00:00,105.85,Hostel
2024-01-02 21:00:00,52.86,Hostel
2024-01-02 22:00:00,95.1,Hostel
2024-01-02 23:00:00,99.29,Hostel
2024-01-03 00:00:00,94.27,Hostel
2024-01-03 01:00:00,30.99,Hostel
2024-01-03 02:00:00,96.58,Hostel
2024-01-03 03:00:00,37.07,Hostel
2024-01-03 04:00:00,117.17,Hostel
2024-01-03 05:00:00,115.65,Hostel
2024-01-03 06:00:00,30.85,Hostel
2024-01-03 07:00:00,108.94,Hostel
2024-01-03 08:00:00,91.38,Hostel
2024-01-03 09:00:00,32.45,Hostel
2024-01-03 10:00:00,113.55,Hostel
2024-01-03 11:00:00,99.63,Hostel
2024-01-03 12:00:00,97.51,Hostel
2024-01-03 13:00:00,37.26,Hostel
2024-01-03 14:00:00,32.91,Hostel
2024-01-03 15:00:00,47.92,Hostel
2024-01-03 16:00:00,61.51,Hostel
2024-01-03 17:00:00,112.84,Hostel
2024-01-03 18:00:00,50.67,Hostel
2024-01-03 19:00:00,54.53,Hostel
2024-01-03 20:00:00,74.1,Hostel
2024-01-03 21:00:00,117.23,Hostel
2024-01-03 22:00:00,83.63,Hostel
2024-01-03 23:00:00,49.94,Hostel
2024-01-04 00:00:00,43.28,Hostel
2024-01-04 01:00:00,34.39,Hostel
2024-01-04 02:00:00,92.1,Hostel
2024-01-04 03:00:00,117.5,Hostel
2024-01-04 04:00:00,42.29,Hostel
2024-01-04 05:00:00,39.01,Hostel
2024-01-04 06:00:00,95.51,Hostel
2024-01-04 07:00:00,72.81,Hostel
2024-01-04 08:00:00,87.38,Hostel
2024-01-04 09:00:00,118.53,Hostel
2024-01-04 10:00:00,32.69,Hostel
2024-01-04 11:00:00,34.11,Hostel
2024-01-04 12:00:00,70.29,Hostel
2024-01-04 13:00:00,79.93,Hostel
2024-01-04 14:00:00,45.98,Hostel
2024-01-04 15:00:00,54.13,Hostel
2024-01-04 16:00:00,111.28,Hostel
2024-01-04 17:00:00,102.2,Hostel
2024-01-04 18:00:00,76.25,Hostel
2024-01-04 19:00:00,94.53,Hostel
2024-01-04 20:00:00,118.76,Hostel
2024-01-04 21:00:00,56.76,Hostel
2024-01-04 22:00:00,113.1,Hostel
2024-01-04 23:00:00,41.09,Hostel
2024-01-05 00:00:00,82.12,Hostel
2024-01-05 01:00:00,71.16,Hostel
2024-01-05 02:00:00,59.19,Hostel
2024-01-05 03:00:00,119.76,Hostel
2024-01-05 04:00:00,51.42,Hostel
2024-01-05 05:00:00,105.07,Hostel
2024-01-05 06:00:00,43.98,Hostel
2024-01-05 07:00:00,89.13,Hostel
2024-01-05 08:00:00,103.81,Hostel
2024-01-05 09:00:00,115.64,Hostel
2024-01-05 10:00:00,70.31,Hostel
2024-01-05 11:00:00,72.91,Hostel
2024-01-05 12:00:00,39.83,Hostel
2024-01-05 13:00:00,30.73,Hostel
2024-01-05 14:00:00,101.06,Hostel
2024-01-05 15:00:00,107.88,Hostel
2024-01-05 16:00:00,79.23,Hostel
2024-01-05 17:00:00,49.01,Hostel
2024-01-05 18:00:00,43.75,Hostel
