timestamp,kwh,building
2024-01-01 00:00:00,25.17,Library
2024-01-01 01:00:00,33.74,Library
2024-01-01 02:00:00,44.52,Library
2024-01-01 03:00:00,34.63,Library
2024-01-01 04:00:00,20.56,Library
2024-01-01 05:00:00,34.08,Library
2024-01-01 06:00:00,50.95,Library
2024-01-01 07:00:00,39.55,Library
2024-01-01 08:00:00,29.33,Library
2024-01-01 09:00:00,37.65,Library
2024-01-01 10:00:00,18.17,Library
2024-01-01 11:00:00,53.09,Library
2024-01-01 12:00:00,37.83,Library
2024-01-01 13:00:00,44.75,Library
2024-01-01 14:00:00,57.92,Library
2024-01-01 15:00:00,50.46,Library
2024-01-01 16:00:00,46.75,Library
2024-01-01 17:00:00,44.23,Library
2024-01-01 18:00:00,58.24,Library
2024-01-01 19:00:00,18.7,Library
2024-01-01 20:00:00,27.26,Library
2024-01-01 21:00:00,37.14,Library
2024-01-01 22:00:00,37.56,Library
2024-01-01 23:00:00,48.98,Library
2024-01-02 00:00:00,54.38,Library
2024-01-02 01:00:00,17.69,Library
2024-01-02 02:00:00,28.47,Library
2024-01-02 03:00:00,22.44,Library
2024-01-02 04:00:00,16.98,Library
2024-01-02 05:00:00,49.28,Library
2024-01-02 06:00:00,28.25,Library
2024-01-02 07:00:00,57.41,Library
2024-01-02 08:00:00,19.99,Library
2024-01-02 09:00:00,47.37,Library
2024-01-02 10:00:00,27.36,Library
2024-01-02 11:00:00,58.35,Library
2024-01-02 12:00:00,18.01,Library
2024-01-02 13:00:00,58.57,Library
2024-01-02 14:00:00,17.17,Library
2024-01-02 15:00:00,29.09,Library
2024-01-02 16:00:00,43.12,Library
2024-01-02 17:00:00,51.75,Library
2024-01-02 18:00:00,19.17,Library
2024-01-02 19:00:00,48.33,Library
2024-01-02 20:00:00,31.33,Library
2024-01-02 21:00:00,54.93,Library
2024-01-02 22:00:00,57.82,Library
2024-01-02 23:00:00,57.55,Library
2024-01-03 00:00:00,29.65,Library
2024-01-03 01:00:00,27.64,Library
2024-01-03 02:00:00,41.04,Library
2024-01-03 03:00:00,20.66,Library
2024-01-03 04:00:00,18.93,Library
2024-01-03 05:00:00,34.56,Library
2024-01-03 06:00:00,33.82,Library
2024-01-03 07:00:00,40.38,Library
2024-01-03 08:00:00,19.52,Library
2024-01-03 09:00:00,55.38,Library
2024-01-03 10:00:00,21.67,Library
2024-01-03 11:00:00,28.71,Library
2024-01-03 12:00:00,30.75,Library
2024-01-03 13:00:00,32.25,Library
2024-01-03 14:00:00,38.39,Library
2024-01-03 15:00:00,18.81,Library
2024-01-03 16:00:00,23.13,Library
2024-01-03 17:00:00,19.43,Library
2024-01-03 18:00:00,17.92,Library
2024-01-03 19:00:00,52.15,Library
2024-01-03 20:00:00,25.62,Library
2024-01-03 21:00:00,57.1,Library
2024-01-03 22:00:00,52.03,Library
2024-01-03 23:00:00,18.59,Library
2024-01-04 00:00:00,42.59,Library
2024-01-04 01:00:00,51.71,Library
2024-01-04 02:00:00,28.97,Library
2024-01-04 03:00:00,53.55,Library
2024-01-04 04:00:00,20.83,Library
2024-01-04 05:00:00,41.28,Library
2024-01-04 06:00:00,53.99,Library
2024-01-04 07:00:00,56.54,Library
2024-01-04 08:00:00,16.25,Library
2024-01-04 09:00:00,20.54,Library
2024-01-04 10:00:00,19.56,Library
2024-01-04 11:00:00,45.18,Library
2024-01-04 12:00:00,26.48,Library
2024-01-04 13:00:00,58.55,Library
2024-01-04 14:00:00,49.05,Library
2024-01-04 15:00:00,31.21,Library
2024-01-04 16:00:00,36.49,Library
2024-01-04 17:00:00,52.73,Library
2024-01-04 18:00:00,38.66,Library
2024-01-04 19:00:00,44.87,Library
2024-01-04 20:00:00,57.77,Library
2024-01-04 21:00:00,24.34,Library
2024-01-04 22:00:00,58.44,Library
2024-01-04 23:00:00,21.04,Library
2024-01-05 00:00:00,47.63,Library
2024-01-05 01:00:00,38.89,Library
2024-01-05 02:00:00,57.62,Library
2024-01-05 03:00:00,46.57,Library
2024-01-05 04:00:00,33.44,Library
2024-01-05 05:00:00,20.02,Library
2024-01-05 06:00:00,15.01,Library
2024-01-05 07:00:00,41.77,Library
2024-01-05 08:00:00,47.51,Library
2024-01-05 09:00:00,21.99,Library
2024-01-05 10:00:00,30.43,Library
2024-01-05 11:00:00,58.19,Library
2024-01-05 12:00:00,59.66,Library
2024-01-05 13:00:00,45.54,Library
2024-01-05 14:00:00,46.69,Library
2024-01-05 15:00:00,18.99,Library
2024-01-05 16:00:00,49.9,Library
2024-01-05 17:00:00,20.13,Library
2024-01-05 18:00:00,45.5,Library
2024-01-05 19:00:00,46.48,Library
2024-01-05 20:00:00,43.63,Library
2024-01-05 21:00:00,49.95,Library
2024-01-05 22:00:00,38.58,Library
2024-01-05 23:00:00,55.47,Library
2024-01-06 00:00:00,35.19,Library
2024-01-06 01:00:00,19.76,Library
2024-01-06 02:00:00,42.15,Library
2024-01-06 03:00:00,38.07,Library
2024-01-06 04:00:00,37.3,Library
2024-01-06 05:00:00,30.83,Library
2024-01-06 06:00:00,32.81,Library
2024-01-06 07:00:00,39.56,Library
2024-01-06 08:00:00,48.05,Library
2024-01-06 09:00:00,32.85,Library
2024-01-06 10:00:00,39.3,Library
2024-01-06 11:00:00,23.85,Library
2024-01-06 12:00:00,29.63,Library
2024-01-06 13:00:00,54.14,Library
2024-01-06 14:00:00,24.97,Library
2024-01-06 15:00:00,52.01,Library
2024-01-06 16:00:00,51.01,Library
2024-01-06 17:00:00,23.13,Library
2024-01-06 18:00:00,57.86,Library
2024-01-06 19:00:00,32.3,Library
2024-01-06 20:00:00,16.96,Library
2024-01-06 21:00:00,28.04,Library
2024-01-06 22:00:00,53.13,Library
2024-01-06 23:00:00,48.85,Library
2024-01-07 00:00:00,17.53,Library
2024-01-07 01:00:00,28.38,Library
2024-01-07 02:00:00,29.74,Library
2024-01-07 03:00:00,27.94,Library
2024-01-07 04:00:00,52.23,Library
2024-01-07 05:00:00,40.35,Library
2024-01-07 06:00:00,48.28,Library
2024-01-07 07:00:00,42.59,Library
2024-01-07 08:00:00,46.49,Library
2024-01-07 09:00:00,20.22,Library
2024-01-07 10:00:00,39.23,Library
2024-01-07 11:00:00,38.43,Library
2024-01-07 12:00:00,48.08,Library
2024-01-07 13:00:00,23.95,Library
2024-01-07 14:00:00,28.59,Library
2024-01-07 15:00:00,37.58,Library
2024-01-07 16:00:00,30.69,Library
2024-01-07 17:00:00,34.79,Library
2024-01-07 18:00:00,53.39,Library
2024-01-07 19:00:00,22.74,Library
2024-01-07 20:00:00,50.85,Library
2024-01-07 21:00:00,44.82,Library
2024-01-07 22:00:00,28.8,Library
2024-01-07 23:00:00,35.88,Library
2024-01-08 00:00:00,24.65,Library
2024-01-08 01:00:00,54.93,Library
2024-01-08 02:00:00,50.48,Library
2024-01-08 03:00:00,34.77,Library
2024-01-08 04:00:00,34.33,Library
2024-01-08 05:00:00,54.06,Library
2024-01-08 06:00:00,53.23,Library
2024-01-08 07:00:00,21.57,Library
2024-01-08 08:00:00,22.36,Library
2024-01-08 09:00:00,59.99,Library
2024-01-08 10:00:00,50.9,Library
2024-01-08 11:00:00,55.86,Library
2024-01-08 12:00:00,17.02,Library
2024-01-08 13:00:00,53.57,Library
2024-01-08 14:00:00,28.92,Library
2024-01-08 15:00:00,50.16,Library
2024-01-08 16:00:00,55.23,Library
2024-01-08 17:00:00,27.34,Library
2024-01-08 18:00:00,50.74,Library
2024-01-08 19:00:00,39.59,Library
2024-01-08 20:00:00,34.1,Library
2024-01-08 21:00:00,43.41,Library
2024-01-08 22:00:00,21.23,Library
2024-01-08 23:00:00,39.11,Library
2024-01-09 00:00:00,42.39,Library
2024-01-09 01:00:00,19.66,Library
2024-01-09 02:00:00,34.62,Library
2024-01-09 03:00:00,30.11,Library
2024-01-09 04:00:00,57.63,Library
2024-01-09 05:00:00,42.37,Library
2024-01-09 06:00:00,18.64,Library
2024-01-09 07:00:00,42.79,Library
2024-01-09 08:00:00,16.89,Library
2024-01-09 09:00:00,59.04,Library
2024-01-09 10:00:00,22.97,Library
2024-01-09 11:00:00,55.83,Library
2024-01-09 12:00:00,25.98,Library
2024-01-09 13:00:00,45.44,Library
2024-01-09 14:00:00,17.25,Library
2024-01-09 15:00:00,27.28,Library
2024-01-09 16:00:00,55.15,Library
2024-01-09 17:00:00,38.47,Library
2024-01-09 18:00:00,28.68,Library
2024-01-09 19:00:00,16.13,Library
2024-01-09 20:00:00,15.64,Library
2024-01-09 21:00:00,54.4,Library
2024-01-09 22:00:00,19.49,Library
2024-01-09 23:00:00,56.77,Library
2024-01-10 00:00:00,39.17,Library
2024-01-10 01:00:00,30.09,Library
2024-01-10 02:00:00,19.68,Library
2024-01-10 03:00:00,52.79,Library
2024-01-10 04:00:00,50.12,Library
2024-01-10 05:00:00,19.79,Library
2024-01-10 06:00:00,35.92,Library
2024-01-10 07:00:00,28.28,Library
2024-01-10 08:00:00,37.0,Library
2024-01-10 09:00:00,15.92,Library
2024-01-10 10:00:00,33.21,Library
2024-01-10 11:00:00,40.45,Library
2024-01-10 12:00:00,23.61,Library
2024-01-10 13:00:00,54.56,Library
2024-01-10 14:00:00,44.16,Library
2024-01-10 15:00:00,44.02,Library
2024-01-10 16:00:00,56.89,Library
2024-01-10 17:00:00,25.6,Library
2024-01-10 18:00:00,47.16,Library
2024-01-10 19:00:00,58.28,Library
2024-01-10 20:00:00,49.18,Library
2024-01-10 21:00:00,56.87,Library
2024-01-10 22:00:00,17.83,Library
2024-01-10 23:00:00,46.65,Library
2024-01-11 00:00:00,40.37,Library
2024-01-11 01:00:00,37.05,Library
2024-01-11 02:00:00,41.73,Library
2024-01-11 03:00:00,19.22,Library
2024-01-11 04:00:00,33.0,Library
2024-01-11 05:00:00,48.33,Library
2024-01-11 06:00:00,20.65,Library
2024-01-11 07:00:00,45.36,Library
2024-01-11 08:00:00,50.18,Library
2024-01-11 09:00:00,19.25,Library
2024-01-11 10:00:00,52.59,Library
2024-01-11 11:00:00,28.07,Library
2024-01-11 12:00:00,18.68,Library
2024-01-11 13:00:00,15.01,Library
2024-01-11 14:00:00,16.38,Library
2024-01-11 15:00:00,46.48,Library
2024-01-11 16:00:00,48.5,Library
2024-01-11 17:00:00,26.88,Library
2024-01-11 18:00:00,16.12,Library
2024-01-11 19:00:00,44.48,Library
2024-01-11 20:00:00,42.17,Library
2024-01-11 21:00:00,42.82,Library
2024-01-11 22:00:00,55.26,Library
2024-01-11 23:00:00,51.76,Library
2024-01-12 00:00:00,32.28,Library
2024-01-12 01:00:00,58.48,Library
2024-01-12 02:00:00,48.53,Library
2024-01-12 03:00:00,33.62,Library
2024-01-12 04:00:00,31.47,Library
2024-01-12 05:00:00,42.05,Library
2024-01-12 06:00:00,55.09,Library
2024-01-12 07:00:00,57.35,Library
2024-01-12 08:00:00,57.77,Library
2024-01-12 09:00:00,24.87,Library
2024-01-12 10:00:00,33.53,Library
2024-01-12 11:00:00,50.49,Library
2024-01-12 12:00:00,27.29,Library
2024-01-12 13:00:00,57.76,Library
2024-01-12 14:00:00,23.42,Library
2024-01-12 15:00:00,42.82,Library
2024-01-12 16:00:00,39.87,Library
2024-01-12 17:00:00,16.49,Library
2024-01-12 18:00:00,45.54,Library
2024-01-12 19:00:00,29.38,Library
2024-01-12 20:00:00,33.88,Library
2024-01-12 21:00:00,52.19,Library
2024-01-12 22:00:00,32.1,Library
2024-01-12 23:00:00,47.16,Library
2024-01-13 00:00:00,49.37,Library
2024-01-13 01:00:00,21.96,Library
2024-01-13 02:00:00,22.75,Library
2024-01-13 03:00:00,38.81,Library
2024-01-13 04:00:00,35.51,Library
2024-01-13 05:00:00,19.65,Library
2024-01-13 06:00:00,37.09,Library
2024-01-13 07:00:00,39.42,Library
2024-01-13 08:00:00,24.08,Library
2024-01-13 09:00:00,27.06,Library
2024-01-13 10:00:00,19.98,Library
2024-01-13 11:00:00,35.72,Library
2024-01-13 12:00:00,20.38,Library
2024-01-13 13:00:00,41.68,Library
2024-01-13 14:00:00,20.6,Library
2024-01-13 15:00:00,28.79,Library
2024-01-13 16:00:00,53.15,Library
2024-01-13 17:00:00,52.83,Library
2024-01-13 18:00:00,45.76,Library
2024-01-13 19:00:00,39.7,Library
2024-01-13 20:00:00,29.3,Library
2024-01-13 21:00:00,42.26,Library
2024-01-13 22:00:00,39.97,Library
2024-01-13 23:00:00,50.34,Library
2024-01-14 00:00:00,22.95,Library
2024-01-14 01:00:00,52.24,Library
2024-01-14 02:00:00,21.48,Library
2024-01-14 03:00:00,50.15,Library
2024-01-14 04:00:00,26.78,Library
2024-01-14 05:00:00,48.02,Library
2024-01-14 06:00:00,39.63,Library
2024-01-14 07:00:00,18.65,Library
2024-01-14 08:00:00,15.96,Library
2024-01-14 09:00:00,52.26,Library
2024-01-14 10:00:00,46.21,Library
2024-01-14 11:00:00,43.69,Library
2024-01-14 12:00:00,57.6,Library
2024-01-14 13:00:00,35.53,Library
2024-01-14 14:00:00,39.05,Library
2024-01-14 15:00:00,48.06,Library
2024-01-14 16:00:00,23.3,Library
2024-01-14 17:00:00,46.57,Library
2024-01-14 18:00:00,32.84,Library
2024-01-14 19:00:00,28.51,Library
2024-01-14 20:00:00,55.92,Library
2024-01-14 21:00:00,46.43,Library
2024-01-14 22:00:00,35.58,Library
2024-01-14 23:00:00,40.85,Library
2024-01-15 00:00:00,46.4,Library
2024-01-15 01:00:00,37.25,Library
2024-01-15 02:00:00,32.77,Library
2024-01-15 03:00:00,28.43,Library
2024-01-15 04:00:00,38.45,Library
2024-01-15 05:00:00,55.05,Library
2024-01-15 06:00:00,17.02,Library
2024-01-15 07:00:00,52.15,Library
2024-01-15 08:00:00,34.08,Library
2024-01-15 09:00:00,42.69,Library
2024-01-15 10:00:00,22.86,Library
2024-01-15 11:00:00,35.91,Library
2024-01-15 12:00:00,46.42,Library
2024-01-15 13:00:00,52.26,Library
2024-01-15 14:00:00,42.62,Library
2024-01-15 15:00:00,48.18,Library
2024-01-15 16:00:00,40.03,Library
2024-01-15 17:00:00,36.29,Library
2024-01-15 18:00:00,41.01,Library
2024-01-15 19:00:00,52.26,Library
2024-01-15 20:00:00,45.11,Library
2024-01-15 21:00:00,50.41,Library
2024-01-15 22:00:00,55.21,Library
2024-01-15 23:00:00,33.09,Library
2024-01-16 00:00:00,44.01,Library
2024-01-16 01:00:00,48.54,Library
2024-01-16 02:00:00,19.53,Library
2024-01-16 03:00:00,17.74,Library
2024-01-16 04:00:00,57.36,Library
2024-01-16 05:00:00,21.43,Library
2024-01-16 06:00:00,43.22,Library
2024-01-16 07:00:00,25.85,Library
2024-01-16 08:00:00,26.24,Library
2024-01-16 09:00:00,39.7,Library
2024-01-16 10:00:00,59.21,Library
